catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
J.T. Realmuto,,143,32,86.3,0.6,35,1.81,1.82,1.81,3,1.41,,1.41
Gary Sánchez,,135,30,85.7,0.66,16,1.91,1.87,1.93,2,1.46,1.45,1.47
Sean Murphy,,144,28,86.6,0.68,38,1.89,1.87,1.9,1,1.54,,1.54
Garrett Stubbs,,143,30,83.5,0.61,13,1.87,1.88,1.87,0,,,
Patrick Bailey,,137,24,83.6,0.61,31,1.87,1.89,1.86,5,1.5,1.45,1.54
Connor Wong,,111,27,85.2,0.66,40,1.9,1.89,1.9,1,1.44,,1.44
Christian Bethancourt,,139,31,87.9,0.68,31,1.88,1.89,1.87,2,1.46,,1.46
Sandy León,,140,34,78.4,0.66,11,1.96,1.9,1.96,1,1.45,,1.45
Gabriel Moreno,,109,23,82.2,0.64,19,1.91,1.91,1.9,5,1.48,1.45,1.62
Austin Nola,,135,33,80.9,0.68,28,1.97,1.91,1.98,2,1.57,1.47,1.67
Martín Maldonado,,117,36,84.7,0.65,38,1.92,1.91,1.93,2,1.51,1.44,1.59
Freddy Fermin,,118,28,83.8,0.7,21,1.94,1.91,1.96,2,1.53,,1.53
Austin Wynns,,115,32,78.3,0.57,13,1.91,1.91,1.92,1,1.45,,1.45
Austin Hedges,,140,30,80.4,0.68,22,1.95,1.92,1.96,0,,,
Jose Herrera,,109,26,81.8,0.64,10,1.92,1.92,1.91,0,,,
Luke Maile,,113,32,83.7,0.69,26,1.94,1.92,1.94,0,,,
Yainer Diaz,,117,24,87.7,0.72,19,1.89,1.92,1.87,1,1.54,,1.54
Shea Langeliers,,133,25,87.2,0.69,47,1.9,1.92,1.89,4,1.49,1.65,1.44
Kyle Higashioka,,147,33,78.9,0.64,30,1.97,1.92,1.98,2,1.57,1.41,1.74
Adley Rutschman,,110,25,85.4,0.65,42,1.91,1.92,1.91,3,1.46,,1.46
Tyler Heineman,,141,32,79.3,0.6,5,1.95,1.93,1.96,0,,,
Carson Kelly,,109,28,80.2,0.64,11,1.95,1.93,1.97,0,,,
Carlos Pérez,,133,32,79.8,0.64,13,1.98,1.93,2.02,1,1.39,1.39,
Riley Adams,,120,27,84.7,0.66,15,1.94,1.94,1.94,0,,,
William Contreras,,158,25,82.2,0.65,35,1.95,1.94,1.95,0,,,
Francisco Alvarez,,121,21,83.8,0.66,40,1.94,1.95,1.94,3,1.53,,1.53
Will Smith,,119,28,82.9,0.62,40,1.91,1.95,1.9,4,1.53,1.46,1.55
Seby Zavala,,145,29,82,0.68,25,2,1.95,2.01,2,1.5,,1.5
Jason Delay,,134,28,78.4,0.68,21,2.01,1.95,2.01,2,1.55,,1.55
Elias Díaz,,115,32,82.9,0.67,37,1.95,1.95,1.95,5,1.53,1.79,1.46
Willson Contreras,,138,31,86.6,0.69,26,1.93,1.95,1.91,1,1.47,,1.47
Tyler Stephenson,,113,26,81.8,0.69,18,1.98,1.95,1.99,2,1.5,,1.5
Salvador Perez,,118,33,80,0.64,20,1.97,1.95,1.98,5,1.48,1.44,1.49
Christian Vázquez,,142,32,80.8,0.63,25,1.95,1.95,1.95,2,1.47,1.47,
Joey Bart,,137,26,84.9,0.76,8,2.03,1.96,2.05,0,,,
Matt Thaiss,,108,28,83.8,0.71,11,1.96,1.96,1.96,0,,,
Cam Gallagher,,114,30,79.4,0.65,20,1.97,1.96,1.97,0,,,
Francisco Mejía,,139,27,87.9,0.75,24,1.95,1.97,1.95,2,1.5,,1.5
Eric Haase,,116,30,83.1,0.73,13,2.01,1.97,2.02,2,1.54,,1.54
Cal Raleigh,,136,26,84.4,0.68,38,1.96,1.97,1.96,5,1.47,,1.47
Jake Rogers,,116,28,80.2,0.62,15,1.94,1.97,1.92,1,1.57,,1.57
Danny Jansen,,141,28,81,0.7,21,1.98,1.97,1.98,2,1.52,1.54,1.5
Jacob Stallings,,146,33,82.3,0.68,30,1.96,1.97,1.96,0,,,
Alejandro Kirk,,141,24,79.4,0.64,33,1.98,1.98,1.98,2,1.48,1.48,
Nick Fortes,,146,26,80.4,0.71,34,2,1.98,2.01,6,1.54,,1.54
James McCann,,110,33,82.6,0.68,15,2,1.98,2.02,1,1.45,,1.45
Curt Casali,,113,34,78.7,0.58,13,1.99,1.98,2,1,1.53,,1.53
Jonah Heim,,140,28,83.6,0.72,37,1.97,1.99,1.97,3,1.62,,1.62
Brett Sullivan,,135,29,81.7,0.71,5,2.01,1.99,2.01,0,,,
Bo Naylor,,114,23,84,0.7,17,1.97,2,1.96,1,1.4,,1.4
